"en","hi","mr","te","GUID"
"Many women do not take IFA tablets regularly due to nausea, constipation and black stools. Don't worry about these side effects. They are normal.","कई महिलाएँ आईएफए टैबलेट नियमित रूप से नहीं लेतीं क्योंकि उन्हें उल्टी, कब्ज और काले मल की समस्या होती है। लेकिन इन दुष्प्रभावों की चिंता न करें। ये सामान्य हैं।","उलटी, बद्धकोष्ठता, काळी विष्ठा यामुळे अनेक महिला आयएफए घेत नाहीत; हे दुष्परिणाम सामान्य आहेत, काळजी करू नका.","వాంతులు, మలబద్ధకం, నల్ల మలం వల్ల అనేక మహిళలు ఐఎఫ్ఏ తీసుకోరు; ఇవి సాధారణ దుష्प్రభావాలు, ఆందోళన అవసరం లేదు.","014ec17b-2e05-4d6e-931a-c7cb6c22238b"
"Sexual intercourse does not affect breast milk supply.","संभोग स्तन के दूध की आपूर्ति को प्रभावित नहीं करता है।","लैंगिक संबंधांमुळे स्तनदूधाच्या पुरवठ्यावर परिणाम होत नाही.","లైంగిక సంబంధం తల్లిపాల సరఫరాపై ప్రభావం చూపదు.","7d0359ae-92f4-46f8-80dc-52c9cf3fc0c3"
"It is important to keep newborns warm. They have difficulty maintaining their temperature after birth and in the first few days of life, as they come out wet and lose heat quickly.","नवजात शिशुओं को गर्म रखना महत्वपूर्ण है।उन्हें जन्म के बाद और जीवन के पहले कुछ दिनों में अपने तापमान को बनाए रखने में कठिनाई होती है, क्योंकि वे गीली होकर बाहर निकलते हैं और जल्दी से गर्मी खो देते हैं।","नवजात बाळांना उबदार ठेवा; जन्मानंतर ते पटकन थंड होतात आणि तापमान राखणे कठीण होते.","కొత్తగా పుట్టిన శిశువులను వెచ్చగా ఉంచండి; పుట్టిన వెంటనే వేడి త్వరగా కోల్పోతారు.","63d5f459-b284-4d5f-b90d-a22ad97cbf7a"
"By 4-6 months, children enjoy looking at themselves in the mirror. If a child does not do this by 9 months, refer to the MOIC.","4-6 महीने की उम्र में बच्चे शीशे में अपने आप को देखना पसंद करते हैं। अगर 9 महीने की उम्र तक बच्चा ऐसा नहीं करता है, तो डॉक्टर को दिखाएं।","४-६ महिन्यांत मुले आरशात स्वतःकडे बघणे आवडतात; ९ महिन्यांपर्यंत नसेल तर डॉक्टरांकडे जा.","4-6 నెలలకు పిల్లలు అద్దంలో తమను చూడడం ఇష్టపడతారు; 9 నెలలకు కూడా అలా చేయకపోతే డాక్టర్‌ను సంప్రదించండి.","28df6dcf-03b4-4e16-adbd-61eacfc9d633"
"Children should begin semi-solid, soft foods at six months, as breast milk alone won't meet their nutritional needs during the rapid growth and development from 6 to 24 months.","बच्चों को छह महीने में अर्ध-ठोस, नरम खाद्य पदार्थ शुरू कराना चाहिए,क्योंकि सिर्फ माँ का दूध  6 से 24 महीने तक तेजी से विकास और विकास के दौरान उनकी पोषण संबंधी जरूरतों को पूरा नहीं करेगा।","सहा महिन्यांनी अर्ध-घन, मऊ आहार सुरू करा; 6-24 महिन्यांच्या जलद वाढीत फक्त स्तनपान पुरेसे नसते.","ఆరు నెలలకు అర్థదృఢ, మృదువైన ఆహారం ప్రారంభించండి; 6-24 నెలల వేగవంతమైన ఎదుగుదలలో కేవలం తల్లిపాలు సరిపోవు.","20cf5ee2-b17a-4f7a-9755-2a3863555695"
"Feed prepared for a young child should not be too thin or too thick. You can test it by seeing if the food stays on a spoon when you tilt the spoon.","छोटे बच्चे के लिए बनाया गया खाना न तो बहुत पतला होना चाहिए और न ही बहुत गाढ़ा। आप यह देख सकते हैं कि अगर चम्मच को झुकाने पर खाना चम्मच पर टिकता है, तो वह सही है।","लहानग्याचे अन्न फार पातळ किंवा घट्ट नसावे; चमचा झुकवल्यावर अन्न चमच्यावर टिकते का ते पाहा.","చిన్నారి ఆహారం చాలా పల్చగా లేక గాఢంగా కాకూడదు; గరిటె వంచినప్పుడు ఆహారం గరిటెపై నిలిచితే సరైన దృఢత్వం.","66a48f2c-d76b-438d-a43c-6962a54c5134"
"In a population of 1000, you will generally have 30 newborns per year. This means 2-3 newborns will be added every month in your coverage area.","1000 की आबादी में, आपके पास आम तौर पर प्रति वर्ष 30 नवजात शिशु होंगे।इसका मतलब है कि आपके कवरेज क्षेत्र में हर महीने 2-3 नवजात शिशु जुड़ेंगे।","1000 लोकसंख्येत दरवर्षी सुमारे 30 नवजात होतात; म्हणजे दर महिन्याला 2-3 नवजात तुमच्या क्षेत्रात येतील.","1000 జనాభాలో సంవత్సరానికి సుమారు 30 నవజాత శిశువులు ఉంటారు; అంటే నెలకు 2-3 శిశువులు మీ పరిధిలో చేరుతారు.","c4b22ac2-d814-489e-b8f5-c35e1be676e6"
"About 4 children out of 10 children under five years of age are underweight (have low weight for their age).","पांच साल से कम उम्र के 10 बच्चों में से लगभग 4 बच्चे कम वजन वाले हैं (उनकी उम्र के लिए कम वजन है)।","पाच वर्षाखालील 10 मुलांपैकी सुमारे 4 मुले कमी वजनाची आहेत.","ఐదేళ్లలోపు 10 మందిలో సుమారు 4 మంది పిల్లలు తక్కువ బరువుతో ఉంటారు.","01ecad62-4548-4d86-b54f-0ffdffab85f9"
"More than half the children between 6-59 months of age are anaemic (haemoglobin level less than 11.0g/dl).","6-59 महीने की उम्र के आधे से अधिक बच्चे एनीमिक (हीमोग्लोबिन स्तर 11.0g/dl से कम) हैं।","6-59 महिन्यांतील अर्ध्यापेक्षा जास्त मुले रक्ताल्प आहेत (Hb 11.0 g/dl पेक्षा कमी).","6-59 నెలల పిల్లల్లో సగానికి పైగా రక్తహీనతతో (Hb < 11.0 g/dl) ఉంటారు.","769a6804-f53c-4cd1-bf76-08974d2f10d8"
"The breathing rate of a newborn baby is 30-60 breaths per minute.","नवजात शिशु की सांस लेने की दर 30-60 सांस प्रति मिनट होती है।","नवजात शिशूचा श्वासोच्छ्वास दर मिनिटाला 30-60 असतो.","కొత్తగా పుట్టిన శిశువు శ్వాస రేటు నిమిషానికి 30-60 శ్వాసలు.","9dbd3596-b5f7-46a3-ac7f-b99a68968c56"

